CAS,smiles
COc1c(OC)c(OC)cc(c1)Nc(cc[nH+]2)c(c23)cc(OC)c(c3)OC,COc1c(OC)c(OC)cc(c1)Nc(cc[nH+]2)c(c23)cc(OC)c(c3)OC
Brc1ccc(cc1)[C@H](C)N[C@H](P(=O)([O-])[O-])c(ccc2)c(c23)[nH]c(=O)c(=O)[nH]3,Brc1ccc(cc1)[C@H](C)N[C@H](P(=O)([O-])[O-])c(ccc2)c(c23)[nH]c(=O)c(=O)[nH]3
CC(O)(C)c1ccc(cc1)/C=C/c(cc2)cc(c23)ncn3-c4ccc(cc4)OC(C)C,CC(O)(C)c1ccc(cc1)/C=C/c(cc2)cc(c23)ncn3-c4ccc(cc4)OC(C)C
c1ccccc1COC(=O)N[C@H](C(=O)Nc2ccccc2)CCCCNC(=O)CC[C@@H](C([O-])=O)NC(=O)OCc3ccccc3,c1ccccc1COC(=O)N[C@H](C(=O)Nc2ccccc2)CCCCNC(=O)CC[C@@H](C([O-])=O)NC(=O)OCc3ccccc3
c1c[nH]nc1CNC(=O)c(c2F)cc(cc2)[C@H]3[C@@H](C[NH2+]CC3)COc(cc4)cc(c45)OCO5,c1c[nH]nc1CNC(=O)c(c2F)cc(cc2)[C@H]3[C@@H](C[NH2+]CC3)COc(cc4)cc(c45)OCO5
Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NCCCNC(=O)/C(C#N)=C\CC(C)(C)C,Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NCCCNC(=O)/C(C#N)=C\CC(C)(C)C
c1cc(F)c(C)cc1CNC(=O)c2cc(cnc2)C(=O)NCc3cc(C)c(F)cc3,c1cc(F)c(C)cc1CNC(=O)c2cc(cnc2)C(=O)NCc3cc(C)c(F)cc3
N#Cc1ccc(cc1)-c2cc(OC[C@H]3C[NH2+]CC3)cnc2-c4ccc(C)cc4,N#Cc1ccc(cc1)-c2cc(OC[C@H]3C[NH2+]CC3)cnc2-c4ccc(C)cc4
c1cc(Cl)ccc1C(=N[C@H]2CC=O)c(c(C)c(s3)C)c3n(c24)c(nn4)C,c1cc(Cl)ccc1C(=N[C@H]2CC=O)c(c(C)c(s3)C)c3n(c24)c(nn4)C
CCOC(=O)c(c1C)c(c(c(n1)C)C(=O)OCC)-c2c(Cl)cc(O)cc2,CCOC(=O)c(c1C)c(c(c(n1)C)C(=O)OCC)-c2c(Cl)cc(O)cc2
c1ccccc1COC(=O)c(c(C)nc2C)c(-c3ccc(O)cc3)c2C(=O)OCc4ccccc4,c1ccccc1COC(=O)c(c(C)nc2C)c(-c3ccc(O)cc3)c2C(=O)OCc4ccccc4
[NH3+]CCCC[C@H]([NH3+])C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N(CCC1)[C@@H]1C(=O)N2[C@@H](CCC2)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CO)C(=O)N4[C@@H](CCC4)C(=O)N[C@H](C([O-])=O)Cc5ccccc5,[NH3+]CCCC[C@H]([NH3+])C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N(CCC1)[C@@H]1C(=O)N2[C@@H](CCC2)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CO)C(=O)N4[C@@H](CCC4)C(=O)N[C@H](C([O-])=O)Cc5ccccc5
Cn1nccc1-c(ccc2C(=O)N)cc2Oc3ccccc3F,Cn1nccc1-c(ccc2C(=O)N)cc2Oc3ccccc3F
n1cn(C)cc1-c(cc2S(=O)(=O)NC)c(cc2)NC3CCCCC3,n1cn(C)cc1-c(cc2S(=O)(=O)NC)c(cc2)NC3CCCCC3
Cn1cnc(c1)-c2c(ccc(c2)NS(=O)(=O)C)Nc3ccc(C(F)(F)F)cc3,Cn1cnc(c1)-c2c(ccc(c2)NS(=O)(=O)C)Nc3ccc(C(F)(F)F)cc3
s1cccc1CN(Cc2ccco2)C(=O)[C@@H](c3ccccc3OC)NS(=O)(=O)c(c4)ccc(c45)[nH]c(=O)cc5,s1cccc1CN(Cc2ccco2)C(=O)[C@@H](c3ccccc3OC)NS(=O)(=O)c(c4)ccc(c45)[nH]c(=O)cc5
O=C1[N-]C(=O)/C(S1)=C\c2c[nH]c(=O)c(c2)-c3ccc(nc3)N4CC[NH2+]CC4,O=C1[N-]C(=O)/C(S1)=C\c2c[nH]c(=O)c(c2)-c3ccc(nc3)N4CC[NH2+]CC4
