   #Frame      Binding( with DH ) |    MM    ( with DH )    PB        SA     |   COU    ( with DH )     VDW   |       PBcom        PBpro        PBlig  |    SAcom     SApro     SAlig
_pid~290ns    -152.392( -152.436) |  -314.630( -314.675)   193.931   -31.693 |   -38.130(  -38.174)  -276.501 |   -10595.505   -10687.275     -102.162 |   498.439   505.228    24.903
_pid~291ns    -143.542( -144.771) |  -296.335( -297.563)   180.752   -27.959 |   -41.459(  -42.688)  -254.875 |   -10368.258   -10451.566      -97.443 |   492.423   495.813    24.569
_pid~292ns    -141.525( -136.893) |  -292.797( -288.165)   180.446   -29.173 |   -50.131(  -45.499)  -242.666 |   -10450.773   -10529.031     -102.187 |   496.895   501.019    25.049
_pid~293ns    -147.092( -149.260) |  -278.535( -280.704)   160.172   -28.729 |   -30.292(  -32.460)  -248.243 |   -10411.911   -10472.661      -99.422 |   499.722   503.865    24.586
_pid~294ns    -139.821( -129.028) |  -301.797( -291.004)   191.375   -29.400 |   -79.922(  -69.129)  -221.875 |   -10147.369   -10237.006     -101.738 |   495.583   499.810    25.173
_pid~295ns    -171.995( -169.196) |  -326.249( -323.450)   182.888   -28.634 |   -55.161(  -52.363)  -271.087 |   -10451.940   -10537.425      -97.403 |   495.991   499.740    24.886
_pid~296ns    -106.684( -105.089) |  -294.366( -292.771)   216.262   -28.580 |   -44.000(  -42.405)  -250.366 |   -10238.610   -10356.356      -98.517 |   492.063   495.373    25.270
_pid~297ns    -142.151( -145.174) |  -273.194( -276.217)   160.132   -29.089 |   -38.153(  -41.177)  -235.040 |   -10336.011   -10397.995      -98.148 |   506.004   509.521    25.572
_pid~298ns    -139.022( -142.258) |  -285.573( -288.809)   178.171   -31.620 |   -38.688(  -41.924)  -246.884 |   -10186.398   -10265.468      -99.101 |   486.133   492.604    25.149
_pid~299ns    -140.052( -137.216) |  -297.501( -294.665)   185.396   -27.947 |   -50.139(  -47.303)  -247.362 |   -10396.420   -10480.763     -101.053 |   499.476   502.323    25.099
_pid~300ns    -164.628( -160.850) |  -304.545( -300.767)   167.830   -27.913 |   -53.391(  -49.613)  -251.154 |   -10560.691   -10631.507      -97.014 |   498.535   501.761    24.688
----------------------------------|------------------------------------------|--------------------------------|
  dH=         -144.446( -142.925) |  -296.866( -295.345)   181.578   -29.158 |   -47.224(  -45.703)  -249.641 |
-TdS=           18.016(   13.599) |
----------------------------------|
  dG=         -126.430( -129.326) kJ/mol =   -30.217(  -30.910) kcal/mol
  Ki=        7.088E-17(2.203E-17)  uM    = 7.088E-14(2.203E-14)    nM
+==============================================================+
             dG = RTln(Ki) = -RTln(KA)                          
             Ki = 1/KA = exp(dG/RT) = IC50 = EC50               
+==============================================================+
| M(mol/L) |  m/u/pM | dG(kcal/mol) | dG(kJ/mol) | Affinity    |
|==============================================================|
| 0.1      | 100  mM |    -1.364    |   -5.708   |             |
| 0.01     |  10  mM |    -2.728    |  -11.416   |             |
| 0.001    |   1  mM |    -4.093    |  -17.124   |             |
| 0.0001   | 100  uM |    -5.457    |  -22.832   | Weak        |
|--------------------------------------------------------------|
| 0.00001  |  10  uM |    -6.821    |  -28.540   |             |
| 1.0E-06  |   1  uM |    -8.185    |  -34.248   | Medium      |
|--------------------------------------------------------------|
| 1.0E-07  | 100  nM |    -9.550    |  -39.956   |             |
| 1.0E-08  |  10  nM |   -10.914    |  -45.664   |             |
| 1.0E-09  |   1  nM |   -12.278    |  -51.372   | Strong      |
|--------------------------------------------------------------|
| 1.0E-10  | 100  pM |   -13.642    |  -57.080   |             |
| 1.0E-11  |  10  pM |   -15.007    |  -62.788   |             |
| 1.0E-12  |   1  pM |   -16.371    |  -68.496   | Very strong |
+==============================================================+

