chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL210540,Cc1cc(-c2cnc(Nc3cnc(CN4CCN(C)CC4)cn3)s2)nc(OC2CCCCC2)n1,2500,nM,5.602059991
CHEMBL427045,Cc1cc(-c2cnc(Nc3ccccn3)s2)nc(OC2CCCCC2)n1,10000,nM,5
CHEMBL212049,Cc1cnc(OC2CCCCC2)nc1-c1cnc(Nc2ccccn2)s1,26,nM,7.585026652
CHEMBL424696,c1ccc(Nc2ncc(-c3ccnc(OC4CCCCC4)n3)s2)nc1,2.5,nM,8.602059991
CHEMBL258721,CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)[nH]c(=O)c12,9,nM,8.045757491
CHEMBL526092,CCC1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,73,nM,7.13667714
CHEMBL498200,Nc1nccc(-c2cc3c([nH]2)C(CCC(F)(F)F)CNC3=O)n1,395,nM,6.403402904
CHEMBL524266,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,28,nM,7.552841969
CHEMBL451570,Nc1nccc(-c2cc3c([nH]2)[C@H](CCF)CNC3=O)n1,96,nM,7.017728767
CHEMBL497995,Nc1nccc(-c2cc3c([nH]2)C(C2CCC2)CNC3=O)n1,96,nM,7.017728767
CHEMBL445340,CC(C)C1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,73,nM,7.13667714
CHEMBL402272,Nc1nccc(-c2cc3c([nH]2)CCNC3=O)n1,29,nM,7.537602002
CHEMBL225519,O=C1NCCc2[nH]c(-c3ccncc3)cc21,34,nM,7.468521083
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,458,nM,6.339134522
CHEMBL524629,CC(C)(C)c1cnc(CSc2cnc(NCC3CCNCC3)s2)o1,10000,nM,5
CHEMBL495754,CC(C)(C)c1cnc(CSc2cnc(NCC3CCCCC3)s2)o1,10000,nM,5
CHEMBL496567,CC(C)(C)c1cnc(CSc2cnc(N[C@H]3CC[C@H](N)CC3)s2)o1,355,nM,6.449771647
CHEMBL496568,CC(C)(C)c1cnc(CSc2cnc(N[C@H]3CC[C@@H](N)CC3)s2)o1,10000,nM,5
CHEMBL495557,CC(C)(C)c1cnc(CSc2cnc(N[C@H]3CC[C@H](O)CC3)s2)o1,3500,nM,5.455931956
CHEMBL505474,CC(C)(C)c1cnc(CSc2cnc(NC3CCCC(N)C3)s2)o1,10000,nM,5
CHEMBL495558,CC(C)(C)c1cnc(CSc2cnc(NC3CCCC(O)C3)s2)o1,10000,nM,5
CHEMBL496785,CC(C)(C)c1cnc(CSc2cnc(NC3CCCCC3)s2)o1,10000,nM,5
CHEMBL509772,CC(C)(C)c1cnc(CSc2cnc(NC3CCNCC3)s2)o1,10000,nM,5
CHEMBL507536,CC(C)(C)c1cnc(CSc2cnc(N)s2)o1,10000,nM,5
CHEMBL510566,C[C@@H]1CNC[C@@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,4100,nM,5.387216143
CHEMBL452602,C[C@@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,120,nM,6.920818754
CHEMBL452601,C[C@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,770,nM,6.113509275
CHEMBL455450,C[C@H]1CNC[C@@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,3200,nM,5.494850022
CHEMBL454646,CC1CNCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,270,nM,6.568636236
CHEMBL454645,CC1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CN1,370,nM,6.431798276
CHEMBL508506,CC1NCCCC1C(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1,1600,nM,5.795880017
CHEMBL297570,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCCNC3)s2)o1,550,nM,6.259637311
CHEMBL509012,CC(C)C1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,810,nM,6.091514981
CHEMBL455195,CCC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,680,nM,6.167491087
CHEMBL455194,CC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,1500,nM,5.823908741
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,20,nM,7.698970004
CHEMBL215205,Nc1n[nH]c(N)c1/N=N/c1ccc(O)cc1,350,nM,6.455931956
CHEMBL1922219,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,107,nM,6.970616222
CHEMBL1980297,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,10000,nM,5
CHEMBL2035185,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,36,nM,7.443697499
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,10000,nM,5
CHEMBL2397315,Cc1nc(NC(=O)[C@@H](C)CC(F)(F)F)sc1-c1ccc(N)nc1,5300,nM,5.27572413
CHEMBL1967252,Cc1n[nH]c2ccc(-c3cccnc3)cc12,630.96,nM,6.199998172
CHEMBL189963,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,794.33,nM,6.099999035
CHEMBL1965660,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1Cl,10,nM,8
CHEMBL3343033,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1O,30000,nM,4.522878745
CHEMBL3343034,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)nc(C)nc2cc1O,30000,nM,4.522878745
CHEMBL3343037,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCO,30000,nM,4.522878745
CHEMBL3343038,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCC(=O)O,30000,nM,4.522878745
CHEMBL3343039,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCC(N)=O,30000,nM,4.522878745
CHEMBL3343040,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)nc(N)nc2cc1O,30000,nM,4.522878745
CHEMBL3343042,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)nc(NCCc3ccccn3)nc2cc1O,30000,nM,4.522878745
CHEMBL3343044,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)ccc1O,30000,nM,4.522878745
CHEMBL3343045,O=C(Nc1ccc(NC(=O)c2ccccn2)cc1)c1ccc(O)c([N+](=O)[O-])c1,30000,nM,4.522878745
CHEMBL3343046,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)ccc1O,30000,nM,4.522878745
CHEMBL3343047,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)c(N)cc1O,30000,nM,4.522878745
CHEMBL3343048,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)ccc1OCC(=O)O,30000,nM,4.522878745
CHEMBL3341771,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)cc(-c2c[nH]c(=O)[nH]c2=O)c1,30000,nM,4.522878745
CHEMBL3343051,O=C(Nc1ccc(NC(=O)c2ccccn2)cc1)c1cccc(-c2c[nH]c(=O)[nH]c2=O)c1,30000,nM,4.522878745
CHEMBL3343052,COc1ccc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)cc1-c1c[nH]c(=O)[nH]c1=O,30000,nM,4.522878745
CHEMBL3343055,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)cc(N2CCC(=O)NC2=O)c1,30000,nM,4.522878745
CHEMBL3343057,COc1cc(C(=O)Nc2ccc(NC(=O)C3CCCCN3)cc2)cc(-c2c[nH]c(=O)[nH]c2=O)c1,30000,nM,4.522878745
CHEMBL3343058,CCNC(=O)Nc1ccc(NC(=O)c2cc(OC)cc(-c3c[nH]c(=O)[nH]c3=O)c2)cc1,30000,nM,4.522878745
CHEMBL3589660,O=C(O)c1nc2ccccc2c2[nH]c3c(Cl)cccc3c12,15000,nM,4.823908741
CHEMBL3589661,O=C(O)c1nc2ccccc2c2[nH]c3c(Br)cccc3c12,160,nM,6.795880017
CHEMBL3589662,O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12,10000,nM,5
CHEMBL3589663,COc1cccc2c1[nH]c1c3ccccc3nc(C(=O)O)c21,120,nM,6.920818754
CHEMBL3589664,COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(F)c3[nH]c21,10000,nM,5
CHEMBL3589665,COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(Cl)c3[nH]c21,1000,nM,6
CHEMBL3589666,COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(Br)c3[nH]c21,1500,nM,5.823908741
CHEMBL3589667,COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(I)c3[nH]c21,10000,nM,5
CHEMBL3589670,O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(F)cccc3c12,10000,nM,5
CHEMBL3589671,O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(Cl)cccc3c12,2200,nM,5.657577319
CHEMBL3589672,O=C(O)c1nc2ccc(I)cc2c2[nH]c3c(Br)cccc3c12,1500,nM,5.823908741
